"celex_uri","act_number","title","date","section_code","subsection_code","category_code","category_uri","category_label","institution_code","institution_uri","institution_label"
"http://publications.europa.eu/resource/celex/32025R1725","1725","Commission Implementing Regulation (EU) 2025/1725 of 4 August 2025 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-08-06","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1401","1401","Commission Implementing Regulation (EU) 2025/1401 of 14 July 2025 amending Annexes I, VIII, XI, XV, XVI and XVII to Implementing Regulation (EU) 2021/620 as regards the approval or withdrawal of the disease-free status of certain Member States, zones or compartments thereof as regards certain listed diseases and the approval of eradication programmes for certain listed diseases","2025-07-15","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1356","1356","Commission Implementing Regulation (EU) 2025/1356 of 8 July 2025 amending Annexes I and II to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-07-09","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1560","1560","Commission Implementing Regulation (EU) 2025/1560 of 30 July 2025 authorising a health claim made on foods, other than those referring to the reduction of disease risk and to children’s development and health, and amending Regulation (EU) No 432/2012","2025-07-31","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1543","1543","Commission Implementing Regulation (EU) 2025/1543 of 23 July 2025 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-07-25","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1763","1763","Commission Implementing Regulation (EU) 2025/1763 of 25 August 2025 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-08-26","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1882","1882","Commission Implementing Regulation (EU) 2025/1882 of 11 September 2025 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-09-12","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1753","1753","Commission Implementing Regulation (EU) 2025/1753 of 18 August 2025 correcting and amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-08-20","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R1924","1924","Commission Implementing Regulation (EU) 2025/1924 of 19 September 2025 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-09-22","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R2051","2051","Commission Implementing Regulation (EU) 2025/2051 of 6 October 2025 correcting and amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-10-08","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
"http://publications.europa.eu/resource/celex/32025R2189","2189","Commission Implementing Regulation (EU) 2025/2189 of 23 October 2025 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special disease control measures for African swine fever","2025-10-27","II","b","REG_IMPL","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation","SANTE","http://publications.europa.eu/resource/authority/corporate-body/SANTE","Directorate-General for Health and Food Safety"
